INFO 2024-10-02 18:49:58,357 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-02 18:49:58,360 autoreload Waiting for apps ready_event.
DEBUG 2024-10-02 18:49:58,372 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-02 18:49:58,413 autoreload Watching dir D:\Programming\My_Django_Project\miniblog\blog\templates with glob **/*.
DEBUG 2024-10-02 18:49:58,413 autoreload Watching dir D:\Programming\My_Django_Project\miniblog\locale with glob **/*.mo.
DEBUG 2024-10-02 18:49:58,413 autoreload Watching dir D:\Programming\My_Django_Project\miniblog\blog\locale with glob **/*.mo.
DEBUG 2024-10-02 18:49:58,612 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1720206750.4151678
DEBUG 2024-10-02 18:49:58,631 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1697051657.39226
DEBUG 2024-10-02 18:49:58,635 autoreload File D:\Installed_Software\Python_App_Data\Lib\asyncio\runners.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,636 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1720206747.8657682
DEBUG 2024-10-02 18:49:58,637 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1720206750.6691003
DEBUG 2024-10-02 18:49:58,637 autoreload File D:\Installed_Software\Python_App_Data\Lib\asyncio\subprocess.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,639 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1697051657.385248
DEBUG 2024-10-02 18:49:58,640 autoreload File D:\Installed_Software\Python_App_Data\Lib\hmac.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,640 autoreload File D:\Installed_Software\Python_App_Data\Lib\wsgiref\__init__.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,643 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1720206750.4227185
DEBUG 2024-10-02 18:49:58,644 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\utils\inspect.py first seen with mtime 1720206750.6318376
DEBUG 2024-10-02 18:49:58,644 autoreload File D:\Installed_Software\Python_App_Data\Lib\ctypes\__init__.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,646 autoreload File D:\Installed_Software\Python_App_Data\Lib\asyncio\proactor_events.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,648 autoreload File D:\Installed_Software\Python_App_Data\Lib\struct.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,648 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\template\utils.py first seen with mtime 1720206750.5811565
DEBUG 2024-10-02 18:49:58,648 autoreload File D:\Installed_Software\Python_App_Data\Lib\enum.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,648 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1720206750.6386368
DEBUG 2024-10-02 18:49:58,651 autoreload File D:\Installed_Software\Python_App_Data\Lib\hashlib.py first seen with mtime 1696233358.0
DEBUG 2024-10-02 18:49:58,652 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1720206750.4610705
DEBUG 2024-10-02 18:49:58,652 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\pytz\__init__.py first seen with mtime 1703519634.145994
DEBUG 2024-10-02 18:49:58,652 autoreload File D:\Installed_Software\Python_App_Data\Lib\site-packages\django\utils\connection.py first seen with mtime 1720206750.6151366
